user_id,gender,age,grade
gcELDrrccy5PumZFd,男性,18-24 岁,硕士学位
iyFnzCvSJ2xebyvd4,男性,18-24 岁,大学学位
EuMGaAieqKusaLnHR,男性,18-24 岁,大学学位
X78u6dppRA4h7reTh,男性,18-24 岁,大学学位
5YyEGHpkEWnJxtZe7,男性,25-34 岁,大学学位
TycRNo4YP9XeFCMCW,男性,18-24 岁,大学学位
B8FuDJ3LXJzQrvSRC,女性,25-34 岁,高中学位
XuNzGnQJHRMLkFYRs,男性,18-24 岁,大学学位
vPA6FynSSRd2dzpKL,男性,18-24 岁,大学学位
SKDHiaMK4qeynouvj,男性,18-24 岁,硕士学位
4nasapbMQBMiEHvoW,男性,18-24 岁,大学学位
b5erSA7HASGBgE5R3,男性,18-24 岁,大学学位
TKb7bdhCQvS6oMteQ,男性,25-34 岁,大学学位
WMpC7sr3C4Pz4Rq9a,男性,18-24 岁,大学学位
q3DmGSeF7dwYpuAgj,男性,25-34 岁,大学学位
HMjHEN2kG7jmttYHr,男性,18-24 岁,大学学位
St4dkCo4B897bv4P3,女性,25-34 岁,大学学位
S8rg5YHMKTo88hWku,男性,18-24 岁,大学学位
FvEsg6uMz242qBK3z,男性,18-24 岁,大学学位
jCedgcmdLDEJCmZb5,女性,18-24 岁,高中学位
ZYeAS2miCnqAByPSF,男性,18-24 岁,大学学位
6EeGCsBK2L9iaSawx,男性,18-24 岁,大学学位
PEpSfjZc78sSyJKFd,男性,18-24 岁,大学学位
6gxCAdz3pqhGHmyEh,男性,18-24 岁,大学学位
SAqe8qdTx4neNomWq,女性,18-24 岁,大学学位
t4yfiPCTdxpPurLCr,男性,18-24 岁,大学学位
qQq5WvC4hnjeYkCut,男性,18-24 岁,大学学位
YhwQ7EDghEgdcMn8v,女性,18-24 岁,大学学位
5T9A2iHu3FkLw3iBw,男性,18-24 岁,大学学位
aozznefkjuTnQknxz,男性,18-24 岁,大学学位
SvoWxfCdBr5yCu2Qn,男性,18-24 岁,大学学位
JRfWMFd8ekQDd2hPa,女性,25-34 岁,大学学位
v2JhmZE2zsZaBNkpR,男性,18-24 岁,大学学位
c2xKFvv65Bmqdyx4k,男性,18-24 岁,大学学位
Eo6vEqny7zx4B3enB,男性,18-24 岁,大学学位
RRKoftjPREGAxss8g,男性,25-34 岁,大学学位
9JX7YzF6749axy4R3,男性,18-24 岁,大学学位
s2Dqpbrz5c5wKXrEC,男性,18-24 岁,大学学位
pLqPKLnJhbE6nGTgH,男性,18-24 岁,大学学位
nb3a8p2GdYsHnSJwG,女性,25-34 岁,大学学位
Zq5wN3pWKvohakDqD,男性,18-24 岁,大学未完成
GSFHmG5KDSXazb5Zz,男性,18-24 岁,硕士学位
hCpyfrTzBCRYGc8jr,男性,25-34 岁,大学学位
FddSnbkB8yh3yNtbB,男性,18-24 岁,大学未完成
teh5cQJb45xKRFC2G,男性,18-24 岁,大学学位
H8sEJ6wL47Md4gPch,男性,18-24 岁,大学学位
fwBFrXn9dgZXAY8cT,男性,18-24 岁,大学学位
f5cPKbsSBpwAt7236,男性,25-34 岁,大学学位
wMF6Cnp5SkLiv8Dpp,男性,18-24 岁,大学学位
aBDRiBCZ8HLbgGhhr,男性,18-24 岁,大学学位
gzf8sJP5G3EyL8bYq,女性,18-24 岁,大学学位
ZthuyF44YyC3rNzre,男性,18-24 岁,大学学位
QQorRdRiSkHQdL4gX,男性,18-24 岁,大学学位
BNqXjxrYFP85kPzjm,男性,18-24 岁,大学未完成
om5AzLkZPTo3bbc7b,男性,18-24 岁,大学学位
Ri5empekAY8YShkon,男性,18-24 岁,大学学位
HRoJ6jerGEHAMukcs,男性,18-24 岁,大学学位
o9PG88KmydNvuiwQ6,男性,18-24 岁,高中学位
vbWf7Wm2kY6YDF3SW,男性,18-24 岁,大学学位
iPntv8P6RE5nKtBTe,男性,18-24 岁,大学学位
H5koJXe45R9dMva2K,男性,18-24 岁,大学学位
G9ToSAMNorGtGYvzZ,男性,18-24 岁,大学学位
Xqvo77o8Ph35NcBXL,男性,18-24 岁,大学学位
ZhQF96XFJ5G8YA8Px,女性,25-34 岁,大学学位
rtEYmsiQivp78vEAh,男性,18-24 岁,大学学位
qEio3mcTBg4fHySLb,男性,18-24 岁,大学学位
Ebau38WLASRDedxzQ,男性,18-24 岁,大学学位
RYgqEixwTwFKaX9vc,男性,18-24 岁,硕士学位
San8diuEArYWs23tG,男性,25-34 岁,大学学位
gLG8hXLMuufRqRakj,男性,18-24 岁,大学学位
57v48wZuwNWo8BccY,男性,18-24 岁,大学学位
N7LvAvhhRYutJKux9,男性,18-24 岁,大学学位
8a93ZsQjEvy9Cwpio,男性,18-24 岁,大学学位
8o6x5Bj9pQpXsSWyW,男性,18-24 岁,大学学位
wAeGwi3oCL7aFLFL5,男性,18-24 岁,大学学位
M2jLyjnw3CiwT8mQx,男性,18-24 岁,大学学位
EtdNgWCP3KWYJZZe9,男性,18-24 岁,大学学位
qMywTNYufY3DdewYp,男性,25-34 岁,高中学位
SCCePRYQNuzuBener,男性,18-24 岁,大学学位
wY4y5mWpRmP3of4Nj,男性,18-24 岁,大学学位
t5ZjPkFpZtsJMujXf,男性,18-24 岁,大学学位
63ktvE2Nd6SS3orEK,男性,25-34 岁,大学学位
PXfmPqzHj5chRCs3B,男性,18-24 岁,大学学位
ZBr9Jy2vd5PQGiqkg,男性,18-24 岁,大学学位
yqPBdPmGQyr9e8u4T,女性,18-24 岁,大学学位
GPJaXkEkPu2MaFjaM,男性,18-24 岁,大学学位
HbwacNwLM5Fp4BPm3,男性,18-24 岁,大学学位
iFM2NFh2PDPFR2NMg,女性,18-24 岁,硕士学位
kWx8AWD9EQgM4MfMD,男性,18-24 岁,大学学位
xSgzEQE2uFZ8EWWFk,男性,18-24 岁,大学未完成
sj64o2CHyCbawhcCj,男性,18-24 岁,大学学位
emCD6WiRQeM4S9LKG,男性,18-24 岁,大学学位
uNd3kzk8s5LQEQNWA,男性,18-24 岁,大学学位
Dfy95WdTqwF5nWdmo,男性,18-24 岁,大学学位
8kPah3hwkaAtAourx,男性,18-24 岁,大学未完成
KPDJcZjbySEo6mNWh,男性,18-24 岁,大学学位
6r9D5tb9wamikFmQw,男性,25-34 岁,大学学位
3dS8WxSWnpQLrxpnN,男性,18-24 岁,大学学位
YF2dSMSsLiFCXYbnr,男性,18-24 岁,大学学位
QfiTkaktHZukS6fHg,男性,18-24 岁,大学学位
epM4yLNnmwSZ32urv,男性,25-34 岁,大学学位
s5vB7v8uXG9EEJDb9,男性,18-24 岁,大学学位
gTPfMcqwpzjQo9j75,男性,18-24 岁,大学学位
yR4gkgkyn98TaZGgw,女性,18-24 岁,大学学位
i6CBmfpvPgcjjeqSY,男性,18-24 岁,大学学位
29bpxt3Bpz2QvnE5M,男性,18-24 岁,大学学位
HzwFoQPGdbtPG9h5q,女性,18-24 岁,大学学位
Wp5y7ybHEKntMMWsb,男性,18-24 岁,大学未完成
EYmz8juKBHEBXwb69,男性,18-24 岁,大学学位
LK2FKpmiSPZohQy8q,男性,18-24 岁,大学未完成
mNekRQ64gqKg3dp6i,男性,18-24 岁,大学学位
NWCqSpMEjsic6JmwN,男性,18-24 岁,大学未完成
oDdQ683ZxxdcGaRY4,男性,18-24 岁,大学学位
AAaf7gQkrthMQYoyD,男性,18-24 岁,大学学位
8kcMXJdyTaTgdijmj,男性,18-24 岁,大学学位
JQoWgmcm8mx9uMoiH,男性,18-24 岁,大学学位
HjHJrh5XZxrR4vJfL,男性,18-24 岁,大学学位
TT5W9Qce4MShAkToW,男性,18-24 岁,大学学位
aacAFntaYQdA5sCi3,男性,18-24 岁,大学学位
Su66m4vZGhbbPcfJR,男性,18-24 岁,大学学位
tsJjNQ946FuyN87hu,男性,18-24 岁,大学学位
zq8unMoaDqeggfYzn,男性,18-24 岁,大学学位
P4GLZ9MjA7jpjSyqH,男性,18-24 岁,大学学位
2DwYnsMtE3Mu2DnyL,男性,25-34 岁,大学学位
3JDBRApnByvSRF92r,女性,18-24 岁,大学学位
4XZtB327Bi2TkPAck,男性,18-24 岁,大学学位
4p9kfMETgasKC9yqA,男性,18-24 岁,大学学位
5pZGAN8BMWwHtuGoD,男性,25-34 岁,硕士学位
5zSH25zhMxHzCuqeW,男性,18-24 岁,大学学位
6rwBE3Szf9T6wzFro,男性,25-34 岁,大学学位
7sJpctsJ7STcqok92,男性,18-24 岁,大学学位
8DLxvySrgECZhGXLM,男性,25-34 岁,专科
8ZjLdhBWfhihodk6o,男性,18-24 岁,大学学位
8miyM7bBkuFoD6hGC,男性,18-24 岁,大学学位
9mCZr8cFp5SzNntGL,男性,18-24 岁,大学未完成
9ogu9EREQgHtuBb4Y,女性,18-24 岁,大学学位
AvNC9XJfTBiynaAqw,男性,25-34 岁,硕士学位
CuoykS7LPdq234rCs,女性,18-24 岁,硕士学位
EgxkDKxCH8GAYxuMA,女性,18-24 岁,硕士学位
GJDy8J9NMZviyZgxA,男性,25-34 岁,大学学位
K2KkPFX2bToDNHrYG,男性,18-24 岁,硕士学位
KrRGSBm5th8tui9HE,男性,18-24 岁,大学学位
MWdNWodLwEfuckCQZ,女性,45-54 岁,高中毕业
S3gxArbBbnWaHjKPy,男性,18-24 岁,大学未完成
WHmDPrQnANdDn5Bkk,男性,18-24 岁,大学学位
Wn55tG2bzRisSHwJg,男性,18-24 岁,大学学位
XNoo7z6p8yAJJRBpH,男性,25-34 岁,硕士学位
Xyg9fShgEPzFD5aay,男性,18-24 岁,大学学位
Y7RyREKSKeQBzADhP,女性,45-54 岁,高中未完成
YXKnBDcCF8ANQMgLh,男性,25-34 岁,硕士学位
Ys22CZH2ia2kmig2F,男性,25-34 岁,大学学位
YyLK4G4JnfRSwjsEn,女性,25-34 岁,硕士学位
ZSP3APhT6tJRsezMd,女性,25-34 岁,硕士学位
ZXCe832yYC6FEGAM5,男性,25-34 岁,博士学位
ZfRBEcjNcobciTRtB,女性,25-34 岁,大学学位
Zi6mrF6PwPBqg7smC,男性,18-24 岁,大学学位
aErS9uhgt5ZLHFkLo,男性,45-54 岁,大学学位
ayWj4baoN78AEizd4,女性,18-24 岁,硕士学位
dTrrrRhvQfLGaGPzJ,女性,25-34 岁,大学学位
fjBqTdnKfxeeuz4Jm,女性,18-24 岁,硕士学位
fs2FiCNLmos9hKqsP,男性,18-24 岁,大学学位
gL34H5wv5iA5eYvRX,男性,25-34 岁,大学学位
h5LbhwPyEQGi4AnY2,女性,18-24 岁,大学学位
iJ3cWRxad4HezrJuA,男性,25-34 岁,大学学位
iQLQzeLEewCc9PiS9,男性,18-24 岁,大学学位
iWRcMZjo3x4ghFYER,女性,25-34 岁,硕士学位
j7LHmiqhD3cjnPzkn,女性,25-34 岁,大学学位
kQg4mHb9wPAvtbFjj,男性,18-24 岁,高中毕业
mC79TS4PKYopHsucR,男性,18-24 岁,大学学位
mik4kx4qkfTz3ckEw,女性,45-54 岁,高中毕业
nAiMkaAAA6gsXWTCY,女性,25-34 岁,大学学位
nDSseYTELLP78T52J,男性,25-34 岁,大学学位
nYwDGCet6uGwWT54o,男性,25-34 岁,硕士学位
okZrFanj9YHGg5D2v,男性,18-24 岁,大学未完成
opzEaHw2k7rchnFQv,男性,25-34 岁,硕士学位
oyFasjyzyaGe8NAQS,女性,25-34 岁,大学学位
qJ5R5sjZ3vzNebSQF,男性,25-34 岁,博士学位
rNmbXgJncQ2EfqYRE,男性,25-34 岁,硕士学位
vKWcdCNxveF42vCgQ,男性,18-24 岁,大学学位
vryzELHZDAqpAXFY9,男性,18-24 岁,大学学位
x3zz7TwqKDni8onbh,女性,18-24 岁,大学学位
xBvhTZb43bmCfJEQK,女性,25-34 岁,专科
xPR5pB6TNppdwMr7K,男性,25-34 岁,大学学位
y3RkwH6H7SFs9Zfxf,男性,18-24 岁,高中毕业
z2HQQ9w942WWZ4AGN,男性,18-24 岁,高中毕业
zEZAmAn3SpkiGWoxx,女性,25-34 岁,大学学位
zEaqg9qAW4MvwbwC4,女性,25-34 岁,大学学位
KR84FnDmm22WRkwCH,男性,18-24 岁,大学学位
AY724zbA7qjGPkZnd,男性,18-24 岁,大学学位
